capacity_multiplier,w_gossip,w_rel,program_variant,k_swaps,n_changed_talks,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,30,4,8,4,0.43402777777777773,0.0010740873718896183,0.925,0.0320216049382716,149,1600
0.7,0.0,1.0,30,4,8,5,0.4756944444444444,-0.0012250681417208399,0.875,0.0346900720164609,143,1600
0.7,0.0,1.0,31,8,16,1,0.3923611111111111,0.0016052516337367706,0.925,0.028324331275720163,183,1600
0.7,0.0,1.0,31,8,16,2,0.42013888888888884,-0.002615714146522805,0.875,0.03205375514403292,172,1600
0.7,0.0,1.0,31,8,16,3,0.5173611111111112,0.002593363379855873,0.825,0.0628858024691358,167,1600
0.7,0.0,1.0,31,8,16,4,0.4131944444444444,-0.0004892591344105312,0.9,0.0320216049382716,149,1600
0.7,0.0,1.0,31,8,16,5,0.48611111111111116,-0.006532525099100894,0.9,0.03362911522633744,143,1600
0.7,0.0,1.0,32,5,8,1,0.41025641025641024,-2.241326787043363e-05,0.85,0.028692926066437967,183,1600
0.7,0.0,1.0,32,5,8,2,0.42307692307692313,-0.0007204878234188072,0.875,0.026880366106556582,172,1600
0.7,0.0,1.0,32,5,8,3,0.4871794871794872,0.001440362742941943,0.775,0.0509605966674419,167,1600
0.7,0.0,1.0,32,5,8,4,0.4423076923076923,-6.628893352171872e-05,0.875,0.029209913488187293,149,1600
0.7,0.0,1.0,32,5,8,5,0.4615384615384616,-0.000994289425216266,0.825,0.032269224107021724,143,1600
0.7,0.0,1.0,33,3,6,1,0.40625,-0.0037131282142945565,0.9,0.029385288065843618,183,1600
0.7,0.0,1.0,33,3,6,2,0.4131944444444445,-0.0023116176211624407,0.9,0.025880915637860085,172,1600
0.7,0.0,1.0,33,3,6,3,0.4861111111111111,0.0017760494743561139,0.775,0.05574845679012344,167,1600
0.7,0.0,1.0,33,3,6,4,0.40625,0.0008302849843312288,0.925,0.022955246913580255,149,1600
0.7,0.0,1.0,33,3,6,5,0.4583333333333333,-0.0037121107498387573,0.875,0.032375257201646086,143,1600
0.7,0.0,1.0,34,5,10,1,0.3854166666666666,-0.002323721691791434,0.875,0.026491769547325097,183,1600
0.7,0.0,1.0,34,5,10,2,0.42361111111111116,-0.0014465293304238003,0.9,0.030028292181069952,172,1600
0.7,0.0,1.0,34,5,10,3,0.4791666666666667,0.0007407628674991429,0.8,0.055844907407407406,167,1600
0.7,0.0,1.0,34,5,10,4,0.4444444444444445,-0.0007815262663643807,0.875,0.03366126543209876,149,1600
0.7,0.0,1.0,34,5,10,5,0.4791666666666667,-0.003662121924935491,0.925,0.035365226337448555,143,1600
0.7,0.0,1.0,35,6,12,1,0.4270833333333334,-0.000920393410633551,0.85,0.04067001028806585,183,1600
0.7,0.0,1.0,35,6,12,2,0.4236111111111111,-0.0024649644929741043,0.875,0.03022119341563786,172,1600
0.7,0.0,1.0,35,6,12,3,0.5208333333333334,0.0015207317098975181,0.8,0.06491126543209876,167,1600
0.7,0.0,1.0,35,6,12,4,0.3923611111111111,0.001459331595324329,0.925,0.021219135802469136,149,1600
0.7,0.0,1.0,35,6,12,5,0.46875000000000006,-0.0012591755305038533,0.925,0.034207818930041156,143,1600
0.7,0.0,1.0,36,4,8,1,0.3819444444444444,0.0004344215116725536,0.9,0.03054269547325102,183,1600
0.7,0.0,1.0,36,4,8,2,0.4131944444444445,0.0009863167424919083,0.875,0.02771347736625514,172,1600
